Date,With active card,Without active card
10/26/2016,1668,219
10/27/2016,2051,1447
10/28/2016,1909,208
10/29/2016,1613,155
10/30/2016,1584,198
10/31/2016,1670,457
11/1/2016,1847,202
11/2/2016,1828,216
11/3/2016,1699,214
11/4/2016,2249,280
11/5/2016,2019,299
11/6/2016,1669,218
11/7/2016,1868,218
11/8/2016,1823,205
11/9/2016,1845,249
11/10/2016,1363,204
11/11/2016,1616,234
11/12/2016,1401,187
11/13/2016,1419,196
11/14/2016,1749,1278
11/15/2016,1884,2027
11/16/2016,1890,1922
11/17/2016,1624,696
11/18/2016,2005,206
11/19/2016,2083,199
11/20/2016,1751,299
11/21/2016,1832,237
11/22/2016,1736,537
11/23/2016,1868,209
11/24/2016,1521,213
11/25/2016,1857,223
11/26/2016,1836,199
11/27/2016,1560,197
11/28/2016,1841,202
11/29/2016,1817,241
11/30/2016,1882,252
12/1/2016,1901,1038
12/2/2016,1956,1883
12/3/2016,1694,233
12/4/2016,1760,3209
12/5/2016,1909,3470
12/6/2016,1744,557
12/7/2016,1752,575
12/8/2016,1698,219
12/9/2016,1750,228
12/10/2016,2181,288
12/11/2016,1788,290
12/12/2016,1951,647
12/13/2016,1871,243
12/22/2016,1828,246
12/23/2016,2048,247
12/24/2016,1738,222
12/25/2016,1617,184
12/26/2016,1730,237
12/27/2016,1747,188
12/28/2016,2333,293
12/29/2016,1990,225
12/30/2016,2000,228
12/31/2016,1678,149
1/1/2017,1311,172
1/2/2017,1657,186
1/3/2017,1690,210
1/4/2017,2118,3238
1/5/2017,1900,2862
1/6/2017,1815,782
1/7/2017,1661,203
1/8/2017,1496,173
1/9/2017,1755,763
1/10/2017,1831,202
1/11/2017,1920,214
1/11/2017,1920,214
1/12/2017,1713,180
1/13/2017,1690,171
1/14/2017,1716,192
1/15/2017,1359,161
1/16/2017,1615,178
1/17/2017,1881,1373
1/18/2017,1759,174
1/19/2017,1875,1370
1/20/2017,1726,178
1/21/2017,1813,213
1/22/2017,1426,171
1/23/2017,1786,610
1/24/2017,1381,169
1/25/2017,1297,290
1/26/2017,1408,164
1/27/2017,1887,196
1/28/2017,1939,211
1/29/2017,1515,185
1/30/2017,1756,190
1/31/2017,1729,850
2/1/2017,2068,663
2/2/2017,1917,319
2/3/2017,1918,203
2/4/2017,1694,191
2/5/2017,1350,140
2/6/2017,1801,715
2/7/2017,1746,335
2/8/2017,1760,269
2/9/2017,1750,161
2/10/2017,1813,366
2/11/2017,1777,178
2/12/2017,1431,162
2/13/2017,1652,161
2/14/2017,1549,151
2/15/2017,1301,128
2/16/2017,1815,1045
2/17/2017,1842,158
2/18/2017,1928,201
2/19/2017,1730,163
2/20/2017,2091,211
2/21/2017,2362,214
2/22/2017,2780,300
2/23/2017,3063,371
2/24/2017,3229,1344
2/25/2017,2985,332
2/26/2017,2628,293
2/27/2017,3005,370
2/28/2017,3097,284
3/1/2017,3301,1219
3/2/2017,2425,259
3/3/2017,2749,299
3/4/2017,2381,241
3/5/2017,2095,229
3/6/2017,2359,259
3/7/2017,2429,244
3/8/2017,2289,247
3/9/2017,2191,240
3/10/2017,1804,202
3/11/2017,1792,219
3/12/2017,1801,184
3/13/2017,1848,203
3/14/2017,1946,202
3/15/2017,1899,189
3/16/2017,1888,198
3/17/2017,2072,219
3/18/2017,1992,201
3/19/2017,1851,192
3/20/2017,1981,203
3/21/2017,1996,178
3/22/2017,2110,239
3/23/2017,2025,233
3/24/2017,2012,210
3/25/2017,1881,185
3/26/2017,1745,183
3/27/2017,2033,216
3/28/2017,2102,265
3/29/2017,1964,194
3/30/2017,2127,213
3/31/2017,2058,188
4/1/2017,2028,250
4/2/2017,1727,210
4/3/2017,1954,198
4/4/2017,2392,213
4/5/2017,2082,218
4/6/2017,1679,168
4/7/2017,2114,238
4/8/2017,1959,242
4/9/2017,1853,180
2017-03-07,2429,244
2017-03-07,2429,244
2017-03-07,2429,244
2017-03-07,2429,244
2017-03-07,2429,244
