Date,Less than 1 month,1-2 months,2-3 months,More than 3 months
10/26/2016,341,216,185,1145
10/27/2016,327,1285,347,1539
10/28/2016,332,223,218,1344
10/29/2016,300,187,170,1111
10/30/2016,294,191,194,1103
10/31/2016,297,434,219,1177
11/1/2016,360,202,225,1262
11/2/2016,309,186,223,1326
11/3/2016,264,176,223,1250
11/4/2016,392,276,285,1576
11/5/2016,358,239,248,1473
11/6/2016,298,234,212,1143
11/7/2016,291,243,222,1330
11/8/2016,272,207,217,1332
11/9/2016,294,201,233,1366
11/10/2016,248,163,161,995
11/11/2016,289,172,174,1215
11/12/2016,220,172,141,1055
11/13/2016,280,179,160,996
11/14/2016,241,1199,200,1387
11/15/2016,317,1777,331,1486
11/16/2016,295,1079,784,1654
11/17/2016,282,526,269,1243
11/18/2016,313,248,231,1419
11/19/2016,304,208,233,1537
11/20/2016,415,187,187,1261
11/21/2016,321,212,174,1362
11/22/2016,275,515,158,1325
11/23/2016,272,141,171,1493
11/24/2016,275,148,132,1179
11/25/2016,339,179,181,1381
11/26/2016,313,175,161,1386
11/27/2016,316,142,157,1142
11/28/2016,301,166,185,1391
11/29/2016,354,168,179,1357
11/30/2016,348,129,180,1477
12/1/2016,372,525,349,1693
12/2/2016,331,158,1466,1884
12/3/2016,331,133,153,1310
12/4/2016,332,909,977,2751
12/5/2016,328,1140,790,3121
12/6/2016,323,489,155,1334
12/7/2016,330,464,154,1379
12/8/2016,336,117,156,1308
12/9/2016,360,150,145,1323
12/10/2016,439,191,200,1639
12/11/2016,430,156,173,1319
12/12/2016,412,564,186,1436
12/13/2016,382,155,172,1405
12/22/2016,436,137,148,1353
12/23/2016,461,167,172,1495
12/24/2016,404,156,142,1258
12/25/2016,339,165,126,1171
12/26/2016,375,175,139,1278
12/27/2016,410,163,124,1238
12/28/2016,480,237,172,1737
12/29/2016,378,194,145,1498
12/30/2016,425,205,132,1466
12/31/2016,365,156,109,1197
1/1/2017,292,143,105,943
1/2/2017,357,174,100,1212
1/3/2017,390,172,124,1214
1/4/2017,376,2965,171,1844
1/5/2017,340,2610,177,1635
1/6/2017,328,696,139,1434
1/7/2017,334,178,114,1238
1/8/2017,299,144,124,1102
1/9/2017,285,745,138,1350
1/10/2017,345,181,140,1367
1/11/2017,335,193,116,1490
1/11/2017,335,193,116,1490
1/12/2017,294,173,123,1303
1/13/2017,325,180,120,1236
1/14/2017,265,179,124,1340
1/15/2017,284,159,101,976
1/16/2017,296,176,115,1206
1/17/2017,286,1269,146,1553
1/18/2017,287,199,133,1314
1/19/2017,267,1249,140,1589
1/20/2017,263,201,115,1325
1/21/2017,312,216,138,1360
1/22/2017,237,186,108,1066
1/23/2017,247,593,153,1403
1/24/2017,259,181,113,997
1/25/2017,179,315,86,1007
1/26/2017,166,172,108,1126
1/27/2017,282,221,165,1415
1/28/2017,242,210,153,1545
1/29/2017,215,179,149,1157
1/30/2017,242,194,138,1372
1/31/2017,226,801,152,1400
2/1/2017,232,641,176,1682
2/2/2017,250,310,171,1505
2/3/2017,260,218,152,1491
2/4/2017,239,179,141,1326
2/5/2017,199,130,114,1047
2/6/2017,239,672,176,1429
2/7/2017,223,319,153,1386
2/8/2017,205,252,172,1400
2/9/2017,255,147,136,1373
2/10/2017,243,345,167,1424
2/11/2017,238,164,176,1377
2/12/2017,222,125,147,1099
2/13/2017,242,130,135,1306
2/14/2017,178,112,155,1255
2/15/2017,150,103,92,1084
2/16/2017,230,890,186,1554
2/17/2017,210,117,178,1495
2/18/2017,244,140,184,1561
2/19/2017,243,136,192,1322
2/20/2017,228,133,173,1768
2/21/2017,227,121,182,2046
2/22/2017,246,147,209,2478
2/23/2017,353,213,289,2579
2/24/2017,336,1093,321,2823
2/25/2017,317,173,245,2582
2/26/2017,300,134,221,2266
2/27/2017,360,157,221,2637
2/28/2017,270,138,223,2750
3/1/2017,308,948,234,3030
3/2/2017,269,126,192,2097
3/3/2017,301,144,207,2396
3/4/2017,272,130,185,2035
3/5/2017,273,122,159,1770
3/6/2017,313,142,183,1980
3/7/2017,264,153,168,2088
3/8/2017,272,129,173,1962
3/9/2017,331,133,162,1805
3/10/2017,251,97,137,1521
3/11/2017,254,120,109,1528
3/12/2017,221,102,138,1524
3/13/2017,282,153,123,1493
3/14/2017,258,99,145,1646
3/15/2017,275,123,114,1576
3/16/2017,255,114,113,1604
3/17/2017,245,136,115,1795
3/18/2017,261,131,129,1672
3/19/2017,222,130,130,1561
3/20/2017,255,137,124,1668
3/21/2017,246,115,130,1683
3/22/2017,247,121,129,1852
3/23/2017,267,131,113,1747
3/24/2017,241,130,111,1740
3/25/2017,242,123,127,1574
3/26/2017,228,109,90,1501
3/27/2017,243,148,113,1745
3/28/2017,282,136,119,1830
3/29/2017,228,133,138,1659
3/30/2017,254,148,136,1802
3/31/2017,253,134,94,1765
4/1/2017,262,137,119,1760
4/2/2017,227,141,98,1471
4/3/2017,273,124,95,1660
4/4/2017,245,147,140,2073
4/5/2017,237,162,101,1800
4/6/2017,261,133,99,1354
4/7/2017,269,142,117,1824
4/8/2017,271,162,130,1638
4/9/2017,262,121,106,1544
