Date,Visa,Master,Amex
2016-10-26,1615,352,143
2016-10-27,1951,1679,166
2016-10-28,1812,412,182
2016-10-29,1518,327,158
2016-10-30,1531,348,143
2016-10-31,1593,611,167
2016-11-1,1734,401,168
2016-11-2,1769,351,149
2016-11-3,1660,331,152
2016-11-4,2163,498,197
2016-11-5,1981,449,200
2016-11-6,1585,355,169
2016-11-7,1786,398,162
2016-11-8,1745,387,199
2016-11-9,1819,367,159
2016-11-10,1347,281,133
2016-11-11,1615,308,168
2016-11-12,1359,304,164
2016-11-13,1384,288,162
2016-11-14,1633,1506,185
2016-11-15,1794,2297,188
2016-11-16,1766,2224,176
2016-11-17,1550,867,165
2016-11-18,1867,451,219
2016-11-19,1958,429,207
2016-11-20,1762,377,202
2016-11-21,1751,408,180
2016-11-22,1612,767,178
2016-11-23,1784,359,218
2016-11-24,1504,326,169
2016-11-25,1779,399,207
2016-11-26,1766,375,199
2016-11-27,1499,346,152
2016-11-28,1768,361,177
2016-11-29,1775,365,186
2016-11-30,1835,413,195
2016-12-1,1787,1278,190
2016-12-2,1822,2164,193
2016-12-3,1651,375,176
2016-12-4,1555,3614,156
2016-12-5,1704,3890,191
2016-12-6,1649,759,162
2016-12-7,1677,773,172
2016-12-8,1680,329,165
2016-12-9,1702,373,182
2016-12-10,2106,466,230
2016-12-11,1810,420,190
2016-12-12,1889,842,204
2016-12-13,1819,415,168
2016-12-22,1792,386,158
2016-12-23,1980,428,180
2016-12-24,1693,390,162
2016-12-25,1551,329,170
2016-12-26,1686,403,168
2016-12-27,1672,395,184
2016-12-28,2259,513,214
2016-12-29,1883,458,192
2016-12-30,1939,400,164
2016-12-31,1558,384,161
2017-01-01,1264,311,122
2017-01-02,1584,346,151
2017-01-03,1629,383,182
2017-01-04,1950,3634,183
2017-01-05,1758,3214,180
2017-01-06,1694,1015,151
2017-01-07,1626,370,132
2017-01-08,1422,351,164
2017-01-09,1633,987,178
2017-01-10,1748,393,183
2017-01-11,1855,387,186
2017-01-11,1855,387,186
2017-01-12,1640,378,171
2017-01-13,1602,370,170
2017-01-14,1675,351,146
2017-01-15,1316,316,149
2017-01-16,1558,356,144
2017-01-17,1706,1705,208
2017-01-18,1691,354,161
2017-01-19,1771,1660,152
2017-01-20,1661,339,147
2017-01-21,1757,388,179
2017-01-22,1397,314,151
2017-01-23,1707,849,151
2017-01-24,1318,336,129
2017-01-25,1220,464,131
2017-01-26,1396,272,104
2017-01-27,1789,445,165
2017-01-28,1911,376,138
2017-01-29,1503,307,144
2017-01-30,1664,409,166
2017-01-31,1621,1111,143
2017-02-01,1976,896,189
2017-02-02,1832,509,190
2017-02-03,1832,391,168
2017-02-04,1646,379,143
2017-02-05,1276,310,135
2017-02-06,1696,926,162
2017-02-07,1675,527,135
2017-02-08,1634,498,183
2017-02-09,1626,382,169
2017-02-10,1712,598,175
2017-02-11,1733,366,134
2017-02-12,1372,319,139
2017-02-13,1575,371,134
2017-02-14,1480,317,123
2017-02-15,1292,236,108
2017-02-16,1753,1290,137
2017-02-16,1753,1290,137
2017-02-17,1750,414,160
2017-02-18,1812,468,196
2017-02-19,1643,399,181
2017-02-20,2029,454,186
